以下是音频内容的摘要：

Ben Porter，Newzoo咨询总监，介绍了2024年PC和主机游戏市场状况。

Newzoo数据分析分为三大支柱：了解游戏、了解玩家、了解游戏市场。本次演讲主要基于“了解游戏”数据。

主要内容包括三个方面：
1.  **PC和主机市场展望**：
    *   玩家增长相对平缓，尤其是在疫情后。未来三年，玩家数量预计将保持相对稳定，不太会有大量新玩家进入或玩家群体显著扩张。
    *   收入在2021年达到顶峰（全球940亿美元），预计将适度增长，但速度较慢，主要由主机市场驱动。PC市场预计相对平稳。
    *   主机市场进入世代末期，玩家在该阶段更倾向于在游戏本身（软件）上花费，而非硬件和外设。

2.  **玩家行为**：
    *   玩家整体平均季度游戏时长从2021年第一季度（疫情高峰）到2023年第四季度下降了约26%。
    *   好消息是，每小时的收入在上升，表明减少的游戏时长并非高消费时间。近期数据显示此趋势趋于平缓。
    *   总游戏时长高度集中在少数游戏。2023年，总游戏时长的80%来自66款游戏，这一趋势保持稳定。
    *   按游戏年龄划分，老游戏（6年以上）游戏时长占比在增长，新游戏（两年内）也有增长，而中年游戏占比在下降。这表明新游戏更难成长为长期的在线服务型游戏。
    *   热门老游戏包括堡垒之夜（Fortnite）、Roblox、英雄联盟、我的世界（Minecraft）和侠盗猎车手5（GTA V）。仅这五款游戏就占据了2023年总游戏时长的25%以上。这种集中度对新游戏进入市场构成挑战。
    *   堡垒之夜和Roblox是平台，提供用户生成内容（UGC），与其他游戏竞争玩家时间。

3.  **市场机会与经验**：
    *   根据2023年数据，付费在线服务游戏（Pay-to-Play Live Service）和买断制游戏（Premium Title）似乎是新游戏成功的策略。
    *   在2023年新游戏中，年度发布系列（如NBA 2K, EA FC, Madden, Call of Duty）占据了新游戏游戏时长的60%，这些是“根深蒂固”的时间，玩家不易被吸引走。
    *   非年度发布的新游戏（如Diablo 4, Hogwarts Legacy）在2023年占总游戏时长的约8%。
    *   从收入角度看新游戏（基于美国/英国数据），付费在线服务游戏和买断制游戏占据主导地位，买断制游戏收入份额较高（32%的收入来自16%的游戏时长）。免费在线服务新游戏在总收入中的占比不高（尽管其中也有成功案例）。
    *   近期成功发布的游戏（如Baldur's Gate 3, Palworld等非年度系列）的经验包括：游戏完成度高、打磨精良；借鉴成熟玩法但进入未被充分服务的小众市场（如BattleBit填补Battlefield的空缺，Ready or Not填补Rainbow Six的空缺）；强大的开发者和社区支持（常利用抢先体验）；利用社区传播和娱乐价值（直播、TikTok）。
    *   付费玩家重叠度分析显示，一些游戏（如Palworld）的付费玩家群体高度重叠，这表明存在一批愿意追求新颖体验并为其付费的玩家。这类玩家可能相对“善变”，会快速转向新体验。这对新游戏发布策略很重要：如何吸引他们（他们愿意付费）以及如何留住他们（他们快速转移）。这些追求新颖的付费玩家不太会为年度发布系列游戏付费。

**总结**：
*   整体游戏时长下降。
*   老游戏占据了越来越多的游戏时长份额。
*   所有游戏都在与堡垒之夜和Roblox竞争玩家时间和留存。
*   新游戏的游戏时长主要被年度发布系列游戏占据。
*   付费在线服务和买断制游戏在2023年是新游戏成功的策略。
*   新游戏发布应学习近期成功游戏的经验（打磨、小众市场、社区、病毒传播）。
*   识别并激活追求新颖的付费玩家，并规划留存策略。

一份关于PC和主机游戏的报告将于四月初免费发布。
